what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1350103531304
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1350103544867
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1350103545892
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.saveAll",1350103560167
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1350103583983
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1350103584125
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1350103597938
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.saveAll",1350103629832
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1350103641983
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1350103642241
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1350103642320
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1350103643666
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1350103645048
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.saveAll",1350103765983
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1350103769221
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1350103769244
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1350103802701
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1350103802820
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1350103887144
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1350103889208
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1350103900601
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1350103919456
